Id,Name,Value,Date
Rio,MIEL I,73.8,2025-10-04
Rio,NARE CP,19.19,2025-10-04
Rio,PORCE III,1.91,2025-10-04
Rio,PORCE2 CP,32.66,2025-10-04
Rio,PRADO,6.13,2025-10-04
Rio,QUEBRADONA,0.4,2025-10-04
Rio,SAN CARLOS,29.67,2025-10-04
Rio,SAN EUGENIO,5.7,2025-10-04
Rio,SAN FRANCISCO,2.36,2025-10-04
Rio,SAN MIGUEL,33.64,2025-10-04
Rio,SINU URRA,390.26,2025-10-04
Rio,SOGAMOSO,340.63,2025-10-04
Rio,TENCHE,6.99,2025-10-04
Rio,A. SAN LORENZO,67.01,2025-10-05
Rio,ALTOANCHICAYA,40.17,2025-10-05
Rio,AMOYA,18.77,2025-10-05
Rio,BATA,41.38,2025-10-05
Rio,BETANIA CP,136.6,2025-10-05
Rio,BLANCO,0.0,2025-10-05
Rio,BOGOTA N.R.,7.66,2025-10-05
Rio,CALIMA,6.95,2025-10-05
Rio,CAMPOALEGRE,3.92,2025-10-05
Rio,CARLOS LLERAS,33.65,2025-10-05
Rio,CAUCA SALVAJINA,58.58,2025-10-05
Rio,CHINCHINA,11.42,2025-10-05
Rio,CHUZA,13.89,2025-10-05
Rio,CONCEPCION,10.2,2025-10-05
Rio,CUCUANA,5.25,2025-10-05
Rio,DESV. BATATAS,4.02,2025-10-05
Rio,DESV. CHIVOR,4.02,2025-10-05
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",9.4,2025-10-05
Rio,DESV. GUARINO,7.73,2025-10-05
Rio,DESV. MANSO,2.26,2025-10-05
Rio,DESV. SAN MARCOS,0.89,2025-10-05
Rio,DIGUA,32.9,2025-10-05
Rio,EL QUIMBO,268.87,2025-10-05
Rio,ESCUELA DE MINAS,34.71,2025-10-05
Rio,ESTRELLA,1.42,2025-10-05
Rio,GRANDE,32.22,2025-10-05
Rio,GUADALUPE,27.62,2025-10-05
Rio,GUATAPE,28.67,2025-10-05
Rio,GUAVIO,46.92,2025-10-05
Rio,ITUANGO,392.58,2025-10-05
Rio,MIEL I,124.89,2025-10-05
Rio,NARE CP,17.49,2025-10-05
Rio,PORCE III,30.47,2025-10-05
Rio,PORCE2 CP,33.82,2025-10-05
Rio,PRADO,10.23,2025-10-05
Rio,QUEBRADONA,0.46,2025-10-05
Rio,SAN CARLOS,31.22,2025-10-05
Rio,SAN EUGENIO,5.18,2025-10-05
Rio,SAN FRANCISCO,2.29,2025-10-05
Rio,SAN MIGUEL,69.57,2025-10-05
Rio,SINU URRA,417.12,2025-10-05
Rio,SOGAMOSO,553.27,2025-10-05
Rio,TENCHE,7.06,2025-10-05
Rio,A. SAN LORENZO,79.44,2025-10-06
Rio,ALTOANCHICAYA,34.44,2025-10-06
Rio,AMOYA,14.63,2025-10-06
Rio,BATA,38.49,2025-10-06
Rio,BETANIA CP,111.03,2025-10-06
Rio,BLANCO,0.0,2025-10-06
Rio,BOGOTA N.R.,13.25,2025-10-06
Rio,CALIMA,7.08,2025-10-06
Rio,CAMPOALEGRE,4.5,2025-10-06
Rio,CARLOS LLERAS,30.45,2025-10-06
Rio,CAUCA SALVAJINA,53.92,2025-10-06
Rio,CHINCHINA,11.01,2025-10-06
Rio,CHUZA,7.6,2025-10-06
Rio,CONCEPCION,14.98,2025-10-06
Rio,CUCUANA,3.65,2025-10-06
Rio,DESV. BATATAS,2.9,2025-10-06
Rio,DESV. CHIVOR,2.93,2025-10-06
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",9.82,2025-10-06
Rio,DESV. GUARINO,7.81,2025-10-06
Rio,DESV. MANSO,0.87,2025-10-06
Rio,DESV. SAN MARCOS,0.82,2025-10-06
Rio,DIGUA,29.97,2025-10-06
Rio,EL QUIMBO,158.47,2025-10-06
Rio,ESCUELA DE MINAS,40.26,2025-10-06
Rio,ESTRELLA,1.54,2025-10-06
Rio,GRANDE,46.04,2025-10-06
Rio,GUADALUPE,48.71,2025-10-06
Rio,GUATAPE,49.88,2025-10-06
Rio,GUAVIO,34.78,2025-10-06
Rio,ITUANGO,426.5,2025-10-06
Rio,MIEL I,116.3,2025-10-06
Rio,NARE CP,21.34,2025-10-06
Rio,PORCE III,12.19,2025-10-06
Rio,PORCE2 CP,82.62,2025-10-06
Rio,PRADO,11.68,2025-10-06
Rio,QUEBRADONA,0.66,2025-10-06
Rio,SAN CARLOS,68.12,2025-10-06
Rio,SAN EUGENIO,5.94,2025-10-06
Rio,SAN FRANCISCO,2.38,2025-10-06
Rio,SAN MIGUEL,46.56,2025-10-06
Rio,SINU URRA,420.29,2025-10-06
Rio,SOGAMOSO,360.11,2025-10-06
Rio,TENCHE,11.0,2025-10-06
Rio,A. SAN LORENZO,33.88,2025-10-07
Rio,ALTOANCHICAYA,31.16,2025-10-07
Rio,AMOYA,20.67,2025-10-07
Rio,BATA,86.34,2025-10-07
Rio,BETANIA CP,120.73,2025-10-07
Rio,BLANCO,0.0,2025-10-07
Rio,BOGOTA N.R.,30.85,2025-10-07
Rio,CALIMA,9.51,2025-10-07
Rio,CAMPOALEGRE,5.52,2025-10-07
Rio,CARLOS LLERAS,32.72,2025-10-07
Rio,CAUCA SALVAJINA,55.99,2025-10-07
Rio,CHINCHINA,10.76,2025-10-07
Rio,CHUZA,23.72,2025-10-07
Rio,CONCEPCION,6.47,2025-10-07
Rio,CUCUANA,8.32,2025-10-07
Rio,DESV. BATATAS,8.85,2025-10-07
Rio,DESV. CHIVOR,8.74,2025-10-07
Rio,"DESV. EEPPM (NEC,PAJ,DOL)",9.33,2025-10-07
Rio,DESV. GUARINO,5.36,2025-10-07
Rio,DESV. MANSO,0.71,2025-10-07
Rio,DESV. SAN MARCOS,1.64,2025-10-07
Rio,DIGUA,28.29,2025-10-07
Rio,EL QUIMBO,140.74,2025-10-07
Rio,ESCUELA DE MINAS,37.72,2025-10-07
Rio,ESTRELLA,1.74,2025-10-07
Rio,GRANDE,29.27,2025-10-07
Rio,GUADALUPE,21.5,2025-10-07
Rio,GUATAPE,28.36,2025-10-07
Rio,GUAVIO,99.3,2025-10-07
Rio,ITUANGO,442.39,2025-10-07
Rio,MIEL I,86.74,2025-10-07
Rio,NARE CP,19.8,2025-10-07
Rio,PORCE III,4.12,2025-10-07
Rio,PORCE2 CP,33.4,2025-10-07
Rio,PRADO,19.69,2025-10-07
Rio,QUEBRADONA,0.42,2025-10-07
Rio,SAN CARLOS,31.22,2025-10-07
Rio,SAN EUGENIO,7.29,2025-10-07
Rio,SAN FRANCISCO,2.77,2025-10-07
Rio,SAN MIGUEL,49.34,2025-10-07
Rio,SINU URRA,322.2,2025-10-07
Rio,SOGAMOSO,259.31,2025-10-07
Rio,TENCHE,3.13,2025-10-07
Rio,A. SAN LORENZO,49.14,2025-10-08
Rio,ALTOANCHICAYA,51.4,2025-10-08
Rio,AMOYA,18.4,2025-10-08
Rio,BATA,163.18,2025-10-08
Rio,BETANIA CP,150.09,2025-10-08
Rio,BLANCO,0.0,2025-10-08
Rio,BOGOTA N.R.,22.11,2025-10-08
Rio,CALIMA,19.54,2025-10-08
Rio,CAMPOALEGRE,5.66,2025-10-08
Rio,CARLOS LLERAS,35.88,2025-10-08
Rio,CAUCA SALVAJINA,65.68,2025-10-08
Rio,CHINCHINA,11.39,2025-10-08
